classId,method,bytecode
klass_ID1,"public Train(Controller, int, java.lang.String, int)",aload_0 invokespecial aload_0 iconst_0 putfield aload_0 iconst_0 putfield aload_0 iconst_0 putfield aload_0 new dup invokespecial putfield aload_0 iconst_0 putfield aload_0 bipush putfield aload_0 iconst_0 putfield aload_0 aload_1 invokespecial aload_0 iload_2 invokespecial aload_0 aload_3 invokespecial aload_0 iload invokespecial aload_0 iconst_0 invokevirtual return
klass_ID1,java.util.List<Station> getExits(),aload_0 getfield invokevirtual invokeinterface aload_0 getfield iconst_1 iadd i2l invokeinterface invokestatic invokeinterface checkcast areturn
klass_ID1,private void setController(Controller),aload_0 aload_1 putfield return
klass_ID1,private void setID(int),aload_0 iload_1 putfield return
klass_ID1,void setHasElectricEngine(boolean),aload_0 iload_1 putfield return
klass_ID1,private void setCurrentStation(java.lang.String),aload_0 aload_0 getfield aload_1 invokevirtual putfield return
klass_ID1,private void setCurrentStation(Station),aload_0 aload_1 putfield return
klass_ID1,private int getID(),aload_0 getfield ireturn
klass_ID1,private void setSeats(int),aload_0 iload_1 putfield return
klass_ID1,void setTimetable(Timetable),aload_0 aload_1 putfield getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield iconst_1 iadd invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual invokevirtual return
klass_ID1,public boolean hasElectricEngine(),aload_0 getfield ireturn
klass_ID1,public Station getCurrentStation(),aload_0 getfield areturn
klass_ID1,private int getSeats(),aload_0 getfield ireturn
klass_ID1,private java.util.List<Traveler> getTravelerList(),aload_0 getfield areturn
klass_ID1,private Timetable getTimetable(),aload_0 getfield areturn
klass_ID1,private void searchTimetable(),aload_0 getfield aload_0 invokevirtual astore_1 aload_1 ifnonnull getstatic new dup invokespecial ldc invokevirtual aload_0 getfield invokevirtual invokevirtual invokevirtual aload_0 getfield invokevirtual dup astore_2 monitorenter aload_0 getfield invokevirtual invokevirtual goto astore_3 aload_3 invokevirtual aload_2 monitorexit goto astore aload_2 monitorexit aload athrow goto aload_0 aload_1 invokevirtual return table: to 61 71 78
klass_ID1,private void checkTimetable(),aload_0 invokespecial ifnonnull aload_0 invokespecial goto aload_0 getfield aload_0 getfield invokevirtual invokeinterface iconst_1 isub if_icmpne aload_0 dup getfield iconst_1 iadd putfield aload_0 getfield getfield ifne aload_0 getfield aload_0 getfield if_icmpge aload_0 iconst_0 putfield aload_0 invokespecial goto getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 iconst_1 putfield aload_0 aconst_null putfield return
klass_ID1,private void unloadTravelers(),aload_0 getfield invokeinterface ifle aload_0 getfield invokevirtual dup astore_1 monitorenter aload_0 getfield invokeinterface aload_0 invokedynamic invokeinterface invokestatic invokeinterface checkcast astore_2 aload_2 aload_0 invokedynamic invokeinterface aload_1 monitorexit goto astore_3 aload_1 monitorexit aload_3 athrow return table: to 68 74
klass_ID1,private void unboardTraveler(Traveler),aload_0 getfield aload_1 invokeinterface pop aload_1 aload_0 getfield invokevirtual aload_0 dup getfield iconst_1 iadd putfield return
klass_ID1,private void loadTravelers(),aload_0 getfield ifnull aload_0 getfield invokevirtual dup astore_1 monitorenter aload_0 getfield invokevirtual invokeinterface invokedynamic invokeinterface aload_0 invokedynamic invokeinterface aload_0 invokedynamic invokeinterface aload_0 getfield aload_0 getfield invokeinterface isub i2l invokeinterface aload_0 invokedynamic invokeinterface aload_1 monitorexit goto astore_2 aload_1 monitorexit aload_2 athrow return table: to 94 100
klass_ID1,private void boardTraveler(Traveler),aload_0 getfield aload_1 invokeinterface pop aload_1 aload_0 invokespecial aload_0 invokevirtual invokevirtual aload_0 dup getfield iconst_1 iadd putfield return
klass_ID1,private void prepareForDriving(),aload_0 getfield ifnull aload_0 getfield invokevirtual aload_0 getfield iconst_1 iadd invokeinterface checkcast astore_1 aload_0 getfield aload_0 getfield aload_1 invokevirtual astore_2 aload_2 ifnull aload_0 aload_2 invokespecial istore_3 iload_3 ifeq aload_0 aload_1 aload_2 invokespecial goto aload_0 getfield invokevirtual dup astore_3 monitorenter aload_0 getfield invokevirtual invokevirtual goto astore aload invokevirtual aload_3 monitorexit goto astore aload_3 monitorexit aload athrow return table: to 85 97 104
klass_ID1,private boolean prepareRailway(Railway),aload_1 ifnull aload_0 getfield aload_1 invokevirtual if_icmpeq aload_0 getfield ifne aload_1 dup astore_2 monitorenter aload_1 invokevirtual ifne getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_1 invokevirtual goto astore_3 aload_3 invokevirtual aload_0 aload_1 invokespecial aload_2 monitorexit ireturn aload_1 aload_0 invokevirtual iconst_1 aload_2 monitorexit ireturn astore aload_2 monitorexit aload athrow getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 getfield invokevirtual dup astore_2 monitorenter aload_0 getfield invokevirtual invokevirtual goto astore_3 aload_3 invokevirtual aload_2 monitorexit goto astore aload_2 monitorexit aload athrow iconst_0 ireturn iconst_0 ireturn table: to 70 85 94 99 155 165 172
klass_ID1,private void freeRailway(Railway),aload_1 dup astore_2 monitorenter aload_1 aload_0 invokevirtual aload_1 invokevirtual aload_2 monitorexit goto astore_3 aload_2 monitorexit aload_3 athrow return table: to 15 21
